Bulan;Jabodetabek;Non-Jabodetabek (Jawa);Sumatra;Total
Maret ;18548.00;4401.00;476.00;23425.00
April;5138.00;676.00;85.00;5898.00
Mei ;5077.00;399.00;8.00;5484.00
Juni ;8591.00;681.00;18.00;9290.00
Juli ;11116.00;1089.00;33.00;12238.00
Agustus;11014.00;1665.00;95.00;12774.00
September;9678.00;1617.00;134.00;11429.00
Oktober;10128.00;1640.00;169.00;11937.00
November;11622.00;1901.00;199.00;13722.00
Desember;11330.00;1933.00;253.00;13515.00
Januari;10149.00;1482.00;270.00;11901.00
Februari;9796.00;1427.00;256.00;11479.00
Maret;12041.00;1954.00;289.00;14284.00
April;12452.00;2138.00;274.00;14864.00
Mei;12230.00;2397.00;230.00;14857.00
Juni;11978.00;2335.00;243.00;14556.00
Juli;5102.00;544.00;101.00;5747.00
Agustus;5947.00;532.00;36.00;6515.00
